电影名,导演,上映时间,评分,评论数
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,1994,9.7,3275705
霸王别姬,陈凯歌 Kaige Chen,1993,9.6,2416564
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,1997,9.5,2491265
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,1994,9.5,2424220
千与千寻,宫崎骏 Hayao Miyazaki,2001,9.4,2529842
美丽人生,罗伯托·贝尼尼 Roberto Benigni,1997,9.5,1478518
星际穿越,克里斯托弗·诺兰 Christopher Nolan,2014,9.4,2174553
这个杀手不太冷,吕克·贝松 Luc Besson,1994,9.4,2546602
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,2010,9.4,2319363
楚门的世界,彼得·威尔 Peter Weir,1998,9.4,2012129
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,1993,9.5,1244171
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,2009,9.4,1539712
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,1998,9.3,1875026
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,9.3,2312037
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,2009,9.2,2073487
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,2008,9.3,1487889
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,2004,9.3,1469982
无间道,刘伟强 / 麦兆辉,2002,9.3,1560294
控方证人,比利·怀尔德 Billy Wilder,1957,9.6,739555
寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,9.1,1981793
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,1995,9.2,1705775
熔炉,黄东赫 Dong-hyuk Hwang,2011,9.3,1033996
触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,9.3,1292041
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,9.3,1104143
末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,9.3,1026141
哈利·波特与魔法石,Chris Columbus,2001,9.2,1418656
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,2006,9.1,1684359
龙猫,宫崎骏 Hayao Miyazaki,1988,9.2,1408097
活着,张艺谋 Yimou Zhang,1994,9.3,967905
怦然心动,罗伯·莱纳 Rob Reiner,2010,9.1,2046990
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,2008,9.2,1190341
指环王3：王者无敌,彼得·杰克逊 Peter Jackson,2003,9.3,908132
我不是药神,文牧野 Muye Wen,2018,9.0,2345725
乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,9.3,793016
飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,9.1,1497169
让子弹飞,姜文 Wen Jiang,2010,9.0,1916443
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,2004,9.1,1287336
十二怒汉,西德尼·吕美特 Sidney Lumet,1957,9.4,577406
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,2015,9.3,778254
素媛,李濬益 Jun-ik Lee,2013,9.3,774527
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,2002,9.1,1207689
天空之城,宫崎骏 Hayao Miyazaki,1986,9.2,1006979
鬼子来了,姜文 Wen Jiang,2000,9.3,713570
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,2016,9.0,1742056
少年派的奇幻漂流,李安 Ang Lee,2012,9.1,1487335
钢琴家,罗曼·波兰斯基 Roman Polanski,2002,9.3,748732
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,2002,9.2,855178
死亡诗社,彼得·威尔 Peter Weir,1989,9.2,879378
大话西游之月光宝盒,刘镇伟 Jeffrey Lau,1995,9.0,1363224
绿皮书,彼得·法雷里 Peter Farrelly,2018,8.9,1888621
何以为家,娜丁·拉巴基 Nadine Labaki,2018,9.1,1160842
闻香识女人,马丁·布莱斯 Martin Brest,1992,9.1,1021025
大闹天宫,万籁鸣 Laiming Wan,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,508615
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,9.1,948404
指环王1：护戒使者,彼得·杰克逊 Peter Jackson,2001,9.1,957987
罗马假日,威廉·惠勒 William Wyler,1953,9.1,1046858
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,9.3,638559
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,9.1,959072
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,1988,9.2,739894
饮食男女,李安 Ang Lee,1994,9.2,723790
辩护人,杨宇硕 Woo-seok Yang,2013,9.2,657147
本杰明·巴顿奇事,大卫·芬奇 David Fincher,2008,9.0,1103485
搏击俱乐部,大卫·芬奇 David Fincher,1999,9.0,972898
美丽心灵,朗·霍华德 Ron Howard,2001,9.1,852465
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,2008,9.2,640905
情书,岩井俊二 Shunji Iwai,1995,8.9,1323589
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,2011,9.0,969326
两杆大烟枪,盖·里奇 Guy Ritchie,1998,9.1,676883
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,2006,9.2,631169
音乐之声,罗伯特·怀斯 Robert Wise,1965,9.1,683325
功夫,周星驰 Stephen Chow,2004,8.9,1333857
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆 Alfonso Cuarón,2004,9.0,889708
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,2000,8.9,1092087
阿凡达,詹姆斯·卡梅隆 James Cameron,2009,8.8,1584463
看不见的客人,奥里奥尔·保罗 Oriol Paulo,2016,8.8,1438884
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,1998,9.1,724044
沉默的羔羊,乔纳森·戴米 Jonathan Demme,1991,8.9,1015017
小鞋子,马基德·马基迪 Majid Majidi,1997,9.2,465348
布达佩斯大饭店,韦斯·安德森 Wes Anderson,2014,8.9,1084359
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,8.9,1066868
飞越疯人院,米洛斯·福尔曼 Miloš Forman,1975,9.1,602986
还有明天,宝拉·柯特莱西 Paola Cortellesi,2023,9.3,369232
禁闭岛,Martin Scorsese,2010,8.9,1111691
心灵捕手,格斯·范·桑特 Gus Van Sant,1997,9.0,814568
致命魔术,克里斯托弗·诺兰 Christopher Nolan,2006,8.9,963550
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,1994,8.9,958663
超脱,托尼·凯耶 Tony Kaye,2011,9.0,722624
哈利·波特与密室,Chris Columbus,2002,8.9,916089
一一,杨德昌 Edward Yang,2000,9.1,509306
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,8.8,1094223
杀人回忆,奉俊昊 Joon-ho Bong,2003,8.9,836799
致命ID,詹姆斯·曼高德 James Mangold,2003,8.9,948401
摩登时代,查理·卓别林 Charles Chaplin,1936,9.3,346779
春光乍泄,王家卫 Kar Wai Wong,1997,9.0,709266
加勒比海盗,戈尔·维宾斯基 Gore Verbinski,2003,8.8,968326
海豚湾,路易·西霍尤斯 Louie Psihoyos,2009,9.3,382394
美国往事,赛尔乔·莱翁内 Sergio Leone,1984,9.1,471671
红辣椒,今敏 Satoshi Kon,2006,9.0,569859
七宗罪,大卫·芬奇 David Fincher,1995,8.8,1061411
唐伯虎点秋香,李力持 Lik-Chi Lee,1993,8.8,1224330
狩猎,托马斯·温特伯格 Thomas Vinterberg,2012,9.1,470455
幽灵公主,宫崎骏 Hayao Miyazaki,1997,8.9,669676
甜蜜蜜,陈可辛 Peter Chan,1996,8.9,673258
寄生虫,奉俊昊 Joon-ho Bong,2019,8.8,1548468
天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian,1983(中国大陆) / 2021,9.2,335091
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,2012,8.9,814398
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,8.8,1145637
7号房的礼物,李焕庆 Hwan-kyeong Lee,2013,8.9,622252
第六感,M·奈特·沙马兰 M. Night Shyamalan,1999,8.9,638088
茶馆,谢添 Tian Xie,1982(中国大陆),9.5,208971
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,1995,8.8,801302
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,2004,8.9,654159
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,2006,8.8,775527
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,2005,8.8,802372
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,8.8,806799
未麻的部屋,今敏 Satoshi Kon,1997,9.1,425859
重庆森林,王家卫 Kar Wai Wong,1994,8.8,923346
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,8.9,628320
菊次郎的夏天,北野武 Takeshi Kitano,1999,8.9,674064
入殓师,泷田洋二郎 Yôjirô Takita,2008,8.9,743398
断背山,李安 Ang Lee,2005,8.8,783449
剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,8.7,1121058
勇敢的心,梅尔·吉布森 Mel Gibson,1995,8.9,606025
时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,8.8,794024
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,8.8,866486
消失的爱人,大卫·芬奇 David Fincher,2014,8.7,1074478
无人知晓,是枝裕和 Hirokazu Koreeda,2004,9.1,372923
倩女幽魂,程小东 Siu-Tung Ching,1987,8.8,836518
傲慢与偏见,乔·怀特 Joe Wright,2005,8.7,936470
新世界,朴勋政 Hoon-jung Park,2013,8.9,528441
花样年华,王家卫 Kar Wai Wong,2000,8.8,806128
玩具总动员3,李·昂克里奇 Lee Unkrich,2010,8.9,593528
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,2015,8.9,570055
完美的世界,克林特·伊斯特伍德 Clint Eastwood,1993,9.1,360598
色，戒,李安 Ang Lee,2007,8.7,962447
阳光灿烂的日子,姜文 Wen Jiang,1994,8.8,696449
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,8.8,771391
小森林 夏秋篇,森淳一 Junichi Mori,2014,9.0,474059
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,9.0,433092
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,8.7,1021754
侧耳倾听,近藤喜文 Yoshifumi Kondo,1995,8.9,521203
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,9.2,308751
九品芝麻官,王晶 Jing Wong,1994,8.8,795343
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,2012,8.8,693600
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,2017,8.8,825845
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,2004,8.8,643200
釜山行,延尚昊 Sang-ho Yeon,2016,8.6,1351854
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,8.7,1048108
小森林 冬春篇,森淳一 Junichi Mori,2015,9.0,421261
喜宴,李安 Ang Lee,1993,9.0,432584
萤火之森,大森贵弘 Takahiro Omori,2011,8.8,612040
告白,中岛哲也 Tetsuya Nakashima,2010,8.8,744882
玛丽和麦克斯,亚当·艾略特 Adam Elliot,2009,9.0,471453
七武士,黑泽明 Akira Kurosawa,1954,9.3,236170
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,8.6,1518965
模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,8.8,721108
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,9.0,357248
大鱼,蒂姆·波顿 Tim Burton,2003,8.8,627893
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,8.7,1144995
机器人之梦,巴勃罗·贝格尔 Pablo Berger,2023,9.1,439886
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,8.7,719017
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,9.5,180497
血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,8.7,860877
你的名字。,新海诚 Makoto Shinkai,2016,8.5,1595567
我是山姆,杰茜·尼尔森 Jessie Nelson,2001,9.0,377373
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,8.8,639494
恐怖直播,金秉祐 Byeong-woo Kim,2013,8.7,729533
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.8,498220
末路狂花,雷德利·斯科特 Ridley Scott,1991,9.0,349377
小丑,托德·菲利普斯 Todd Phillips,2019,8.7,1126918
三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,8.7,921757
谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,8.9,471868
高山下的花环,谢晋 Jin Xie,1984(中国大陆) / 1985,9.5,159742
电锯惊魂,詹姆斯·温 James Wan,2004,8.7,614386
无间道2,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,2003,8.8,568517
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,8.8,507211
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,8.7,922824
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,1999,8.9,389299
爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,8.9,474896
疯狂的石头,宁浩 Hao Ning,2006,8.6,927838
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,9.1,269624
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,8.9,397777
海街日记,是枝裕和 Hirokazu Koreeda,2015,8.8,522502
风之谷,宫崎骏 Hayao Miyazaki,1984,8.9,394265
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,2002,9.0,334101
心迷宫,忻钰坤 Yukun Xin,2014,8.7,619037
英雄本色,吴宇森 John Woo,1986,8.6,607443
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,8.7,670198
纵横四海,吴宇森 John Woo,1991,8.8,474664
无敌破坏王,瑞奇·莫尔 Rich Moore,2012,8.7,613400
卢旺达饭店,特瑞·乔治 Terry George,2004,8.9,367936
东京教父,今敏 Satoshi Kon,2003,9.0,292237
牯岭街少年杀人事件,杨德昌 Edward Yang,1991,8.9,370573
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,8.5,992323
小偷家族,是枝裕和 Hirokazu Koreeda,2018,8.7,896743
魔女宅急便,宫崎骏 Hayao Miyazaki,1989,8.7,526040
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,8.7,687207
芙蓉镇,谢晋 Jin Xie,1987,9.3,190703
忠犬八公物语,神山征二郎 Seijirô Kôyama,1987,9.2,219230
岁月神偷,罗启锐 Alex Law,2010,8.7,613420
遗愿清单,罗伯·莱纳 Rob Reiner,2007,8.7,540061
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,8.7,519340
大佛普拉斯,黄信尧 Hsin-yao Huang,2017,8.7,555667
源代码,邓肯·琼斯 Duncan Jones,2011,8.6,928249
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,8.6,830979
白日梦想家,本·斯蒂勒 Ben Stiller,2013,8.6,650934
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,8.7,620041
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,8.4,1121779
可可西里,陆川 Chuan Lu,2004,8.9,347427
你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,8.9,376747
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,8.6,808089
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,8.6,691810
城市之光,查理·卓别林 Charles Chaplin,1931,9.3,173492
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,8.6,693026
青蛇,徐克 Hark Tsui,1993,8.6,602520
东邪西毒,王家卫 Kar Wai Wong,1994,8.6,636572
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,8.6,698054
无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,2009,8.7,564535
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,8.8,387050
大红灯笼高高挂,张艺谋 Yimou Zhang,1991,8.8,373776
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,8.6,848354
新龙门客栈,李惠民 Raymond Lee,1992,8.7,511516
初恋这件小事,"普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010",2001,8.7,504003
千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,8.8,351799
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,8.6,577044
雨人,巴瑞·莱文森 Barry Levinson,1988,8.7,443986
虎口脱险,杰拉尔·乌里 Gérard Oury,1966,8.9,297132
哈利·波特与凤凰社,大卫·叶茨 David Yates,2007,8.6,697922
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,8.6,687142
罗生门,黑泽明 Akira Kurosawa,1950,8.8,359371
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,2016,8.6,655174
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,8.5,750833
真爱至上,理查德·柯蒂斯 Richard Curtis,2003,8.5,809877
火星救援,雷德利·斯科特 Ridley Scott,2015,8.5,838068
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.7,456771
冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,2013,8.5,832797
步履不停,是枝裕和 Hirokazu Koreeda,2008,8.8,329034
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,8.6,601920
千年女优,今敏 Satoshi Kon,2001,8.8,319158
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,8.7,416591
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,8.7,400911
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,2018,8.6,759021
攻壳机动队,押井守 Mamoru Oshii,1995,9.0,219074
血钻,爱德华·兹威克 Edward Zwick,2006,8.7,422905
小姐,朴赞郁 Chan-wook Park,2016,8.5,578513
隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,2016,8.9,273598
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,8.8,311434
血观音,杨雅喆 Ya-che Yang,2017,8.6,564311
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,8.7,400741
